Nr.;ProbenID Labor;ProbenID AG;Sorte;Sortiment;Serie;Land ;B-Land;Ort;Ansaatjahr;Erntejahr;NJ;Standort-Hinweis;Sedimentationswert (ml);Korn-Härte (--);Fallzahl Korn (s);Notiz;Beschreibung;Material;Testplan;MAC;Lab Customer,,,,,,,,,,,,,,
1;GK2506941;343686001002019016;Axioma;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;75;63;458;;Nr. 1, ProbenID Labor GK2506941, ProbenID AG 343686001002019016, Sorte Axioma, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 75, Korn-Härte (--) 63, Fallzahl Korn (s) 458;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
2;GK2506942;343686002002019013;Informer;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;72;57;377;;Nr. 2, ProbenID Labor GK2506942, ProbenID AG 343686002002019013, Sorte Informer, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 72, Korn-Härte (--) 57, Fallzahl Korn (s) 377;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
3;GK2506943;343686003002019010;KWS Emerick;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;71;64;417;;Nr. 3, ProbenID Labor GK2506943, ProbenID AG 343686003002019010, Sorte KWS Emerick, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 71, Korn-Härte (--) 64, Fallzahl Korn (s) 417;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
4;GK2506944;343686004002019017;Asory;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;56;62;400;;Nr. 4, ProbenID Labor GK2506944, ProbenID AG 343686004002019017, Sorte Asory, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 56, Korn-Härte (--) 62, Fallzahl Korn (s) 400;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
5;GK2506945;343686005002019014;Campesino;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;55;60;412;;Nr. 5, ProbenID Labor GK2506945, ProbenID AG 343686005002019014, Sorte Campesino, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 55, Korn-Härte (--) 60, Fallzahl Korn (s) 412;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
6;GK2506946;343686006002019011;Foxx;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;65;62;383;;Nr. 6, ProbenID Labor GK2506946, ProbenID AG 343686006002019011, Sorte Foxx, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 65, Korn-Härte (--) 62, Fallzahl Korn (s) 383;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
7;GK2506948;343686007002019018;LG Character;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;65;62;402;;Nr. 7, ProbenID Labor GK2506948, ProbenID AG 343686007002019018, Sorte LG Character, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 65, Korn-Härte (--) 62, Fallzahl Korn (s) 402;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
8;GK2506947;343686008002019015;KWS Keitum;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;43;60;412;;Nr. 8, ProbenID Labor GK2506947, ProbenID AG 343686008002019015, Sorte KWS Keitum, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 43, Korn-Härte (--) 60, Fallzahl Korn (s) 412;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
9;GK2506949;343686009002019012;KWS Donovan;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;61;59;419;;Nr. 9, ProbenID Labor GK2506949, ProbenID AG 343686009002019012, Sorte KWS Donovan, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 61, Korn-Härte (--) 59, Fallzahl Korn (s) 419;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
10;GK2506950;343686010002019018;SU Jonte;43686;102;Deutschland;Bayern;Greimersdorf;2024;2025;;;53;59;437;;Nr. 10, ProbenID Labor GK2506950, ProbenID AG 343686010002019018, Sorte SU Jonte, Sortiment 43686, Serie 102, Land  Deutschland, B-Land Bayern, Ort Greimersdorf, Ansaatjahr 2024, Erntejahr 2025, Sedimentationswert (ml) 53, Korn-Härte (--) 59, Fallzahl Korn (s) 437;RMWHEA01;Raw Materials NIR R Cereals;11550;61063,
